Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,Market Cap(Cr),Enterprise Value(Cr)
20 Microns Ltd.,533022,20MICRONS,INE144J01027,Metals & Mining,Minerals,2022-06-16,68.9,-5.68,48.45,108.25,243.83,349.58
3I Infotech Ltd.,532628,3IINFOLTD,INE748C01038,Technology,Software,2022-06-16,41.8,-3.8,6.65,119.4,708.05,576.65
3M India Ltd.,523395,3MINDIA,INE470A01017,Diversified,Diversified,2022-06-16,"19,875.35",-1.99,"17,273.00","27,800.00","22,421.71","21,713.75"
3P Land Holdings Ltd.,516092,3PLAND,INE105C01023,Financial,Investment Services,2022-06-16,14.1,2.17,12.1,26.3,24.66,25.48
3rd Rock Multimedia Ltd.,,3RDROCK,INE768P01012,Services,Media & Entertainment,2022-05-09,64.6,-0.77,,,145.5,144.23
52 Weeks Entertainment Ltd.,531925,,INE545N01019,Services,Media & Entertainment,2022-06-16,1.9,-2.06,1.26,4.68,6.63,10.19
5Paisa Capital Ltd.,540776,5PAISA,INE618L01018,Financial,Brokerage Services,2022-06-16,287.45,-5.16,283,580,846.67,596.18
63 Moons Technologies Ltd.,526881,63MOONS,INE111B01023,Technology,Software,2022-06-16,158.1,-4.99,87.1,373.7,728.27,-597.66
7NR Retail Ltd.,540615,,INE413X01027,Services,Trading,2022-06-16,1.64,-4.65,0.65,2.93,17.18,17.31
7Seas Entertainment Ltd.,540874,,INE454F01010,Technology,Software,2022-06-16,18.6,-4.62,9.48,31.15,28.76,34.82
A-1 Acid Ltd.,542012,,INE911Z01017,Services,Trading,2022-06-16,294.95,-0.02,95.65,296,333.5,355.39
A2Z Infra Engineering Ltd.,533292,A2ZINFRA,INE619I01012,Capital Goods,Transformers,2022-06-16,10.75,-4.44,3.95,16.15,189.68,708.23
AAA Technologies Ltd.,,AAATECH,INE0D0U01013,Services,Business Services,2022-06-16,68,-0.73,,,58.15,52.91
Aadi Industries Ltd.,530027,,INE563D01013,Materials,Other Plastic Products,2022-06-16,6.46,-0.77,1.28,16.64,6.46,13.27
Aakash Exploration Services Ltd.,,AAKASH,INE087Z01024,Energy,Oil & Gas Exploration,2022-06-16,21.35,-2.95,,,211.61,236.63
Aananda Lakshmi Spinning Mills Ltd.,539096,,INE197R01010,Textiles,Textile Processing,2022-06-16,9.13,-4.8,2.83,15.39,3.19,34.76
Aanchal Ispat Ltd.,538812,,INE322R01014,Metals & Mining,Stainless Steel,2022-06-16,12.12,-4.94,4.55,24.5,25.27,97.06
AA Plus Tradelink Ltd.,543319,,INE0C5901014,Services,Trading,2022-06-09,6.61,6.1,6,17.5,5.4,6.51
Aarey Drugs & Pharmaceuticals Ltd.,524412,AAREYDRUGS,INE198H01019,Healthcare,Drugs & Pharma,2022-06-16,31.85,-5.49,31.15,64.4,81.23,103.17
Aarnav Fashions Ltd.,539562,,INE750R01016,Financial,Investment Services,2022-06-16,42.85,-8.24,42,202.25,66.7,70.1
Aaron Industries Ltd.,,AARON,INE721Z01010,Capital Goods,Industrial Machinery,2022-06-16,111.6,-2.75,,,115.05,122.22
Aartech Solonics Ltd.,542580,,INE01C001018,Capital Goods,Electronic Equipment,2022-06-13,19.05,-4.51,19.05,56.45,20.17,14.17
Aarti Drugs Ltd.,524348,AARTIDRUGS,INE767A01016,Healthcare,Drugs & Pharma,2022-06-16,410.85,-2.03,401.1,749.75,"3,852.16","4,222.41"
Aarti Industries Ltd.,524208,AARTIIND,INE769A01020,Chemicals,Organic Chemicals,2022-06-16,691.85,-3.06,685,"1,168.40","25,244.78","28,305.25"
Aarti Surfactants Ltd.,543210,AARTISURF,INE09EO01013,Chemicals,Organic Chemicals,2022-06-16,644.5,-3.18,632.1,"1,887.00",501.86,648.47
Aarvee Denims & Exports Ltd.,514274,AARVEEDEN,INE273D01019,Textiles,Readymade Garments,2022-06-16,19.9,-7.66,16.75,33.4,46.8,464.45
Aarvi Encon Ltd.,,AARVI,INE754X01016,Services,Misc.Other Services,2022-06-16,99.35,0.15,,,146.29,126.24
AARV Infratel Ltd.,526488,,INE432N01010,Textiles,Misc.Textiles,2022-03-25,2.36,4.08,2.36,2.36,1.08,1.56
Aashka Hospitals Ltd.,543346,,INE0EAX01014,Healthcare,Health Services,2022-06-16,39.3,-2,38,121.1,93.48,118.78
Aastamangalam Finance Ltd.,511764,,INE819K01014,Financial,Equipment Leasing,2022-06-16,13,-7.14,10.7,22.15,6.16,5.85
Aavas Financiers Ltd.,541988,AAVAS,INE216P01012,Financial,Housing Finance,2022-06-16,"1,955.40",-2.46,"1,945.00","3,340.00","15,468.43","21,075.98"
Aayush Food & Herbs Ltd.,539528,,INE430R01015,Consumer Staples,Personal Care,2022-06-16,23,-2.95,19.05,33,7.46,9.62
Aban Offshore Ltd.,523204,ABAN,INE421A01028,Energy,Offshore Drilling,2022-06-16,46.1,-4.65,37,74.9,267.9,"15,392.00"
ABans Enterprises Ltd.,512165,,INE365O01010,Consumer Discretionary,"Gems, Jewellery & Accessories",2022-06-16,99,-3.37,72.1,181.55,139.5,194.56
Abate AS Industries Ltd.,531658,,INE454E01013,Financial,Misc. Fin.services,2022-06-14,10.28,2.9,5.36,12.05,5.16,5.19
ABB India Ltd.,500002,ABB,INE117A01022,Capital Goods,Switching Equipment,2022-06-16,"2,243.95",-2.64,"1,618.05","2,488.45","47,444.17","46,147.60"
Abbott India Ltd.,500488,ABBOTINDIA,INE358A01014,Healthcare,Drugs & Pharma,2022-06-16,"17,955.15",0.25,"15,514.00","23,934.45","38,279.56","35,623.70"
ABC Gas (International) Ltd.,513119,,INE173M01012,Metals & Mining,Non-Ferrous Metal,2022-05-16,12.6,0,6.75,13.65,2.49,3.92
ABC India Ltd.,520123,,INE125D01011,Services,Road Transport,2022-06-16,69.6,0.36,65,127.65,37.65,38.71
AB Cotspin India Ltd.,,ABCOTS,INE08PH01015,Textiles,Textile Processing,2022-06-16,36,2.56,,,37.05,72.12
Abhinav Capital Services Ltd.,532057,,INE516F01016,Financial,Investment Services,2022-06-16,233.75,-5,27.7,301.15,161.86,155.7
Abhinav Leasing & Finance Ltd.,538952,,INE211D01027,Financial,Misc. Fin.services,2022-06-16,2.55,-3.77,0.91,5.16,13.39,12.51
Abhishek Corporation Ltd.,532831,ABHISHEK,INE004I01017,Textiles,Cotton & Blended Yarn,2021-12-13,0.57,3.64,0.49,0.57,0.91,275.98
Abhishek Finlease Ltd.,538935,,INE723C01015,Financial,Misc. Fin.services,2022-06-13,39.15,-4.98,12.26,53.7,16.69,15.66
Abhishek Infraventures Ltd.,539544,,INE281P01016,Construction,Construction,2022-06-16,5.1,4.94,2.73,6.9,1.66,2.53
Abhishek Integrations Ltd.,,AILIMITED,INE0CAJ01017,Services,Misc.Other Services,2022-06-16,25.45,2.21,,,7.66,7.38
AB Infrabuild Ltd.,,ABINFRA,INE00YB01017,Construction,Construction,2022-06-13,10.4,-4.59,,,13.18,35.9
Abirami Financial Services (India) Ltd.,511756,,INE195I01013,Financial,Hire Purchase,2022-05-13,5.88,5,2.87,6.42,3.53,-1.43
ABM International Ltd.,,ABMINTLLTD,INE251C01025,Services,Trading,2022-06-16,83.75,-0.3,,,77.57,68.51
ABM Knowledgeware Ltd.,531161,,INE850B01026,Technology,Software,2022-06-16,76,-5.71,75.2,152.4,158.62,42.92
Accel Ltd.,517494,,INE258C01038,Communication,Communication Equipment,2022-06-16,19.4,-7.84,9.95,39.8,117.5,172.34
Accelya Solutions India Ltd.,532268,ACCELYA,INE793A01012,Technology,Software,2022-06-16,873.95,-3.32,870,"1,539.70","1,306.05","1,270.40"
ACC Ltd.,500410,ACC,INE012A01025,Materials,Cement,2022-06-16,"2,084.25",-1.81,"1,902.00","2,589.00","39,116.09","32,236.49"
Accord Synergy Ltd.,,ACCORD,INE113X01015,Communication,Telecom Services,2022-06-02,28.7,0,,,9.96,6.42
Accuracy Shipping Ltd.,,ACCURACY,INE648Z01015,Services,Shipping,2022-06-16,235.15,-6.82,,,359.24,464.89
ACE EduTrend Ltd.,530093,,INE715F01014,Services,Media & Entertainment,2022-06-13,2.64,4.76,0.95,2.64,2.42,2.41
Ace Engitech Ltd.,530669,,INE035401012,Financial,Investment Services,2022-05-30,11.5,0,6.04,11.5,3.8,3.42
ACE Integrated Solutions Ltd.,,ACEINTEG,INE543V01017,Diversified,Diversified,2022-06-16,31.65,4.98,,,32.28,30.11
ACE Men Engg Works Ltd.,539661,,INE023R01018,Textiles,Cloth,2022-06-16,35.35,-4.59,9.7,57.2,10.95,11.46
Ace Software Exports Ltd.,531525,,INE849B01010,Technology,Software,2022-06-16,19.15,-7.93,13.7,30.05,9.69,10.76
Acewin Agritech Ltd.,539570,,INE742R01013,Technology,Software,2022-06-13,4.45,-4.91,3.26,9.89,4.57,6.03
Achyut Healthcare Ltd.,543499,,INE0K1401012,Healthcare,Drugs & Pharma,2022-06-15,20,0,19.9,21.5,13.48,13.46
ACI Infocom Ltd.,517356,,INE167B01025,Technology,Software,2022-06-16,1.92,-4,0.74,2.62,21.44,22.04
Acknit Industries Ltd.,530043,,INE326C01017,Textiles,Misc.Textiles,2022-06-16,137,-1.76,101.5,194,41.65,87.07
ACME Resources Ltd.,539391,,INE636B01011,Financial,Misc. Fin.services,2022-06-16,17.9,-4.99,11.42,36.2,46.08,51.71
Acrow India Ltd.,513149,,INE950D01012,Metals & Mining,Structurals,2022-06-16,135.55,5,109,174,8.68,-6.37
Acrysil Ltd.,524091,ACRYSIL,INE482D01024,Materials,Granite & Stones,2022-06-16,520.3,-0.96,502,935,"1,394.01","1,486.82"
Action Construction Equipment Ltd.,532762,ACE,INE731H01025,Capital Goods,Other Machinery,2022-06-16,208.9,-0.14,175,291.75,"2,491.82","2,475.31"
Action Financial Services (India) Ltd.,511706,,INE357A01032,Financial,Brokerage Services,2021-12-13,3.19,-1.85,3.19,5.76,3.99,5.13
Active Clothing Co Ltd.,541144,,INE380Z01015,Textiles,Readymade Garments,2022-06-15,25.1,4.58,17,40,38.94,92.35
Adani Enterprises Ltd.,512599,ADANIENT,INE423A01024,Services,Trading,2022-06-16,"2,083.00",-4.65,"1,303.50","2,420.95","2,37,724.43","2,63,171.31"
Adani Green Energy Ltd.,541450,ADANIGREEN,INE364U01010,Capital Goods,Power Projects,2022-06-16,"1,711.10",-2.66,874.8,"3,050.00","2,67,392.60","3,01,056.47"
Adani Ports and Special Economic Zone Ltd.,532921,ADANIPORTS,INE742F01042,Services,Marine Port Services,2022-06-16,681.7,-3.13,638.1,924.65,"1,44,243.41","1,77,727.83"
Adani Power Ltd.,533096,ADANIPOWER,INE814H01011,Energy,Electricity Generation,2022-06-16,259.3,-4.69,70.35,344.75,"99,836.86","1,68,288.31"
Adani Total Gas Ltd.,542066,ATGL,INE399L01023,Energy,Natural Gas Utilities,2022-06-16,"2,376.50",1.05,774.95,"2,740.00","2,47,897.19","2,59,262.72"
Adani Transmission Ltd.,539254,ADANITRANS,INE931S01010,Energy,Electricity Distribution,2022-06-16,"2,124.65",3.27,863,"3,000.00","2,31,213.75","2,57,208.35"
Adani Wilmar Ltd.,543458,AWL,INE699H01024,Consumer Staples,Vegetable oils,2022-06-16,601.3,-4.99,227,878.35,"78,019.71","82,785.73"
Adarsh Plant Protect Ltd.,526711,,INE627D01016,Chemicals,Agricultural Chemicals,2022-06-16,17.8,-4.04,4.21,28.2,17.54,24.53
ADC India Communications Ltd.,523411,KRONECOMM,INE833A01016,Communication,Communication Equipment,2022-06-16,325.85,-1.82,226.2,459.95,150.08,124.58
Adcon Capital Services Ltd.,539506,,INE805Q01028,Financial,Hire Purchase,2022-06-16,1.55,0.65,0.76,2.22,5.36,4.86
Addi Industries Ltd.,507852,,INE757C01021,Textiles,Readymade Garments,2022-06-16,29.2,19.43,5.85,57.1,29.1,17.54
Add-Shop E-Retail Ltd.,541865,,INE01B501018,Services,Trading,2022-06-16,91.85,-2.29,37.06,175.55,176.58,189.57
Adeshwar Meditex Ltd.,543309,,INE0H8J01015,Healthcare,Medical Devices & Equipment,2022-06-15,25,0,25,42,36.08,57.46
ADF Foods Ltd.,519183,ADFFOODS,INE982B01019,Consumer Staples,Food Processing,2022-06-16,697.95,-2.87,676.1,"1,018.00","1,459.46","1,430.96"
Adinath Exim Resources Ltd.,532056,,INE398H01015,Financial,Investment Services,2022-06-16,17.6,-4.86,9.28,41.7,7.6,6.68
Adinath Textiles Ltd.,514113,,INE207C01019,Textiles,Synthetic Yarn,2022-06-16,43.15,0.58,4.04,101.7,21.06,21.4
Adishakti Loha and Ispat Ltd.,543377,,INE0CWK01019,Services,Trading,2022-06-16,6.3,-3.08,5.8,12,2.96,2.32
Aditri Industries Ltd.,534707,,INE636N01016,Consumer Staples,Misc. Manuf.Articles,2021-12-06,0.96,-4.95,0.54,1.43,1.2,2.81
Aditya Birla Capital Ltd.,540691,ABCAPITAL,INE674K01013,Financial,Misc. Fin.services,2022-06-16,92.2,-4.26,90.05,139.2,"22,461.50","72,585.77"
Aditya Birla Fashion and Retail Ltd.,535755,ABFRL,INE647O01011,Services,Retailing,2022-06-16,229.15,-4.36,189.35,322,"21,286.86","23,032.37"
Aditya Birla Money Ltd.,532974,BIRLAMONEY,INE865C01022,Financial,Brokerage Services,2022-06-16,52.05,-6.13,51.05,88.8,303.58,284.45
Aditya Birla Sun Life AMC Ltd.,543374,ABSLAMC,INE404A01024,Financial,Asset Management Companies,2022-06-16,412.2,-1.97,410,722.9,"11,881.44","12,027.64"
Aditya Consumer Marketing Ltd.,540146,,INE427V01013,Services,Retailing,2022-06-16,35.9,4.97,30.1,69.95,52.54,53.51
Aditya Ispat Ltd.,513513,,INE570B01012,Metals & Mining,Finished Steel,2022-06-16,9.26,-8.77,7.21,15.37,5.46,32.63
Aditya Spinners Ltd.,521141,ADITYASPIN,INE122D01026,Textiles,Cotton & Blended Yarn,2022-06-16,16,2.24,10.45,28.05,27.46,46.63
Aditya Vision Ltd.,540205,,INE679V01019,Services,Retailing,2022-06-16,759.4,1.25,488.35,"1,564.10",913.02,964.14
Adjia Technologies Ltd.,543269,,INE0G0V01018,Technology,Software,2022-06-09,24,-4.19,24,57.05,2.11,2.06
Adline Chem Lab Ltd.,524604,,INE276T01018,Healthcare,Drugs & Pharma,2022-06-14,8.75,0,4.79,11.44,5.12,7.78
Ad-Manum Finance Ltd.,511359,,INE556D01017,Financial,Equipment Leasing,2022-06-16,35.85,-1.1,19.5,55.65,29.74,30.27
Ador Fontech Ltd.,530431,,INE853A01022,Capital Goods,Electrical Machinery,2022-06-16,68.65,-2.28,50.55,87,239.4,204.88
Ador Multiproducts Ltd.,523120,,INE628D01014,Consumer Staples,Household & Personal Products,2022-06-16,50.25,-3.46,48.05,155,24.96,25.89
Ador Welding Ltd.,517041,ADORWELD,INE045A01017,Capital Goods,Welding machinery,2022-06-16,599.1,-6.72,581,880.2,808.16,873.41
Adroit Infotech Ltd.,532172,ADROITINFO,INE737B01033,Technology,Software,2022-06-16,9.6,4.92,7.15,16.68,17.61,17
Advait Infratech Ltd.,543230,,INE0ALI01010,Communication,Telecom Services,2022-06-10,180,5.85,51,251.9,91.8,89.82
Advanced Enzyme Technologies Ltd.,540025,ADVENZYMES,INE837H01020,Chemicals,Organic Chemicals,2022-06-16,279.65,-2.7,260,448,"3,156.86","2,918.84"
Advance Lifestyles Ltd.,521048,,INE900E01015,Textiles,Cloth,2022-06-16,34.35,4.89,20.05,58.2,10.69,54.11
Advance Metering Technology Ltd.,534612,AMTL,INE436N01029,Capital Goods,Power Projects,2022-06-16,19.6,-2.49,11.48,30.5,31.31,50.81
Advance Petrochemicals Ltd.,506947,,INE334N01018,Chemicals,Organic Chemicals,2022-06-09,55.9,4.98,38,55.9,5.03,12.02
Advance Syntex Ltd.,539982,,INE184U01012,Materials,Plastic Films,2022-06-16,10.43,4.93,7.74,14.11,11.57,44.92
Advani Hotels & Resorts (India) Ltd.,523269,ADVANIHOTR,INE199C01026,Services,Hotels,2022-06-16,66.55,-3.55,60.55,109.5,305.74,301.96
Advent Computer Services Ltd.,531429,,INE101C01022,Technology,Software,2022-02-28,2.82,-4.73,1.38,4.52,4.59,7.21
Advik Capital Ltd.,539773,,INE178T01024,Financial,Investment Services,2022-06-16,3.65,4.89,1.73,6.3,80.37,79.38
Advik Laboratories Ltd.,531686,,INE537C01019,Healthcare,Drugs & Pharma,2022-06-13,1.59,4.61,1.06,1.59,3.04,8.77
Aegis Logistics Ltd.,500003,AEGISCHEM,INE208C01025,Services,Logistics,2022-06-16,213.55,-6.69,167.25,394.4,"7,506.14","8,167.19"
Aether Industries Ltd.,543534,AETHER,INE0BWX01014,Chemicals,Misc.Chem.,2022-06-16,781.1,-1.87,701,834.8,"9,676.66","10,085.01"
A.F. Enterprises Ltd.,538351,,INE663P01015,Financial,Investment Services,2022-06-16,109.95,0.32,14.95,138.9,139.85,143.18
Affle (India) Ltd.,542752,AFFLE,INE00WC01027,Technology,Software,2022-06-16,991.65,-2.75,763.02,"1,511.00","13,303.12","13,674.52"
Affordable Robotic & Automation Ltd.,541402,,INE692Z01013,Capital Goods,Industrial Machinery,2022-06-16,119.05,-9.5,96,218.9,119.46,157.38
Agarwal Industrial Corporation Ltd.,531921,AGARIND,INE204E01012,Chemicals,Organic Chemicals,2022-06-16,441.35,-6.71,280.55,730.95,637.44,774.65
AGI Greenpac Ltd.,500187,AGI,INE415A01038,Materials,Packaging & Containers,2022-06-16,202.45,-3.6,190.1,385.7,"1,304.62","2,230.83"
AGI Infra Ltd.,539042,,INE976R01017,Construction,Infrastructure,2022-06-16,371.65,1.53,96,418,458.13,481.98
Agio Paper & Industries Ltd.,516020,,INE112C01011,Consumer Staples,Paper,2022-05-16,4.94,-4.82,1.81,6.12,7.97,22.28
Agrimony Commodities Ltd.,537492,,INE567P01018,Services,Trading,2022-04-07,8.05,-4.96,3.12,12.52,8.71,8.37
Agri- Tech (India) Ltd.,537292,AGRITECH,INE449G01018,Consumer Staples,Other Agriculture Products,2022-06-16,74.85,-3.61,42.25,143.2,45.14,50.76
Agro Phos India Ltd.,,AGROPHOS,INE740V01019,Chemicals,Phosphatic Fertilisers,2022-06-16,33.15,4.91,,,67.21,77.01
Agro Tech Foods Ltd.,500215,ATFL,INE209A01019,Consumer Staples,Vegetable oils,2022-06-16,767.45,-3.86,762.35,"1,149.75","1,876.43","1,971.49"
AGS Transact Technologies Ltd.,543451,AGSTRA,INE583L01014,Services,Misc.Other Services,2022-06-16,75.55,-4.97,75,181.85,933.59,"1,494.86"
Ahimsa Industries Ltd.,,AHIMSA,INE136T01014,Materials,Other Plastic Products,2022-06-10,17.05,5.25,,,9.33,14.42
Ahlada Engineers Ltd.,,AHLADA,INE00PV01013,Metals & Mining,Other Metal Products,2022-06-16,86.95,-2.3,,,113.7,169.28
Ahluwalia Contracts (India) Ltd.,532811,AHLUCONT,INE758C01029,Construction,Construction,2022-06-16,400.3,-2.23,297.05,563.6,"2,625.58","2,345.90"
Ahmedabad Steelcraft Ltd.,522273,,INE868C01018,Metals & Mining,Finished Steel,2022-06-16,17.75,-9.9,14.15,25.65,7.26,6.09
AIA Engineering Ltd.,532683,AIAENG,INE212H01026,Metals & Mining,Castings & Forgings,2022-06-16,"2,087.15",-1.27,"1,517.00","2,350.00","19,644.58","18,143.97"
AI Champdany Industries Ltd.,532806,AICHAMP,INE768E01024,Textiles,Jute prod.,2022-06-16,17.95,4.97,13.3,22.65,55.57,129.85
Aimco Pesticides Ltd.,524288,AIMCOPEST,INE008B01013,Chemicals,Pesticides,2022-06-16,133.15,-1.37,93.05,183.6,125.67,135.51
A Infrastructure Ltd.,539620,,INE534E01020,Materials,Cement & Asbestos Products,2022-06-16,40.8,2.77,25.8,76,165.47,234.69
Airan Ltd.,,AIRAN,INE645W01026,Services,Advertising & Marketing,2022-06-16,20.85,-3.92,,,261.92,278
Airo Lam Ltd.,,AIROLAM,INE801L01010,Materials,Plastic Sheets,2022-06-16,62.85,-1.18,,,94.06,128.85
Aishwarya Technologies and Telecom Ltd.,532975,,INE778I01024,Communication,Communication Equipment,2022-06-16,4.01,-4.98,1.75,5.21,9.58,13.12
Ajanta Pharma Ltd.,532331,AJANTPHARM,INE031B01049,Healthcare,Drugs & Pharma,2022-06-16,"1,806.30",1.54,"1,592.65","2,435.00","15,307.54","14,816.32"
Ajanta Soya Ltd.,519216,,INE601B01015,Consumer Staples,Edible Oil,2022-06-16,56.9,-78,53.5,346.9,457.95,384.2
Ajcon Global Services Ltd.,511692,,INE759C01019,Financial,Investment Services,2022-06-16,38,-1.81,19.6,59.4,20.67,33.77
Ajel Ltd.,530713,,INE229B01015,Technology,Software,2022-06-16,9,-1.1,2.84,17.33,10.49,15.54
Ajmera Realty & Infra India Ltd.,513349,AJMERA,INE298G01027,Construction,Real Estate,2022-06-16,239.45,-4.3,165.1,496,851.46,"1,606.17"
Ajooni Biotech Ltd.,,AJOONI,INE820Y01013,Consumer Staples,Oil Cakes & Animal Feed,2022-06-16,46.5,-4.52,,,46.83,55.27
AJR Infra and Tolling Ltd.,532959,AJRINFRA,INE181G01025,Construction,Infrastructure,2022-06-16,1.55,-3.13,1.25,3.7,146.93,543.88
Ajwa Fun World & Resort Ltd.,526628,,INE863E01015,Services,Leisure & Recreation,2022-05-19,6.65,-5,6.49,15.69,4.25,10.3
Akar Auto Industries Ltd.,530621,,INE864E01021,Capital Goods,Machine Tools,2022-06-16,50,-2.72,21.05,73.8,53.94,132.3
Akashdeep Metal Industries Ltd.,538778,,INE149Q01013,Financial,Misc. Fin.services,2022-06-16,80,-8.2,32,89.8,82.45,104.85
Akash Infra-Projects Ltd.,,AKASH,INE737W01013,Construction,Infrastructure,2022-06-16,31.6,-4.82,,,54.13,68.12
AK Capital Services Ltd.,530499,,INE701G01012,Financial,Hire Purchase,2022-06-16,390,-4.88,326,580,260.7,534.93
AKG Exim Ltd.,,AKG,INE00Y801016,Services,Trading,2022-06-16,29.65,-3.58,,,31.83,42.53
AKI India Ltd.,542020,,INE642Z01018,Consumer Discretionary,Leather Products,2022-06-10,44.1,-2,10.35,52.4,45.41,72.12
AKM Lace & Embrotex Ltd.,540718,,INE777X01017,Services,Trading,2022-06-13,28.5,-0.18,20.7,42.9,8.58,8.49
Aksharchem (India) Ltd.,524598,AKSHARCHEM,INE542B01011,Chemicals,Dyes & Pigments,2022-06-16,257.7,-6.02,254.3,613.7,205.41,235.89
Akshar Spintex Ltd.,541303,AKSHAR,INE256Z01017,Textiles,Cotton & Blended Yarn,2022-06-16,77.3,-2.28,68.1,81.95,187.24,222.5
Aksh Optifibre Ltd.,532351,AKSHOPTFBR,INE523B01011,Capital Goods,Wires & cables,2022-06-16,9.1,-6.67,6.85,15.89,152.12,355.26
AK Spintex Ltd.,539300,,INE671K01019,Textiles,Textile Processing,2022-06-16,50.2,-3.74,18.1,119.3,25.23,36.39
Akzo Nobel India Ltd.,500710,AKZOINDIA,INE133A01011,Materials,Paints & Varnishes,2022-06-16,"1,745.00",-0.95,"1,700.00","2,378.00","7,893.96","7,265.96"
Alacrity Securities Ltd.,535916,,INE030P01017,Financial,Misc. Fin.services,2022-04-22,10.4,-9.57,8,15.68,21.92,26.39
Alankit Ltd.,531082,ALANKIT,INE914E01040,Financial,Misc. Fin.services,2022-06-16,10.95,-0.9,10.65,27.2,157.25,165.07
Alan Scott Industries Ltd.,539115,,INE273F01022,Textiles,Readymade Garments,2022-06-16,155.5,2.27,22.75,342.3,25.04,21.16
Albert David Ltd.,524075,ALBERTDAVD,INE155C01010,Healthcare,Drugs & Pharma,2022-06-16,512.5,-2.27,472.1,739,292.21,152.06
Alchemist Corporation Ltd.,531409,,INE057D01016,Consumer Staples,Household & Personal Products,2022-06-16,13.4,-9.46,6.85,22,6.59,7.56
Alchemist Ltd.,526707,ALCHEM,INE964B01033,Services,Trading,2021-12-13,3.01,4.88,3.05,11.69,4.08,769.1
Alchemist Realty Ltd.,532114,,INE646D01024,Construction,Real Estate,2022-02-28,2.92,-0.68,1.81,4.4,21.64,331.55
Alembic Ltd.,506235,ALEMBICLTD,INE426A01027,Healthcare,Drugs & Pharma,2022-06-16,60.1,-8.66,59.3,139.5,"1,652.39","1,670.59"
Alembic Pharmaceuticals Ltd.,533573,APLLTD,INE901L01018,Healthcare,Drugs & Pharma,2022-06-16,725.05,-1.6,678.3,"1,016.70","14,349.11","14,691.72"
Alexander Stamps And Coin Ltd.,511463,,INE191N01012,Services,Trading,2022-06-16,15.5,-4.02,15,35.45,14.9,15.08
Alfa Ica (India) Ltd.,530973,,INE042C01010,Materials,Other Plastic Products,2022-06-16,49.75,4.74,25.85,60,20.1,31.75
Alfa Transformers Ltd.,517546,,INE209C01015,Capital Goods,Transformers,2022-06-16,6.65,-4.59,5.57,13.86,6.09,7.71
Alfavision Overseas (India) Ltd.,531156,,INE883B01019,Financial,Hire Purchase,2022-06-16,144.35,0.56,38.65,144.65,45.51,99.71
Alfred Herbert (India) Ltd.,505216,ALFREDHERB,INE782D01027,Financial,Investment Services,2022-06-16,655,-2.38,570,799,50.53,29.04
Algoquant Fintech Ltd.,505725,,INE598D01027,Metals & Mining,Other Metal Products,2022-06-16,379.6,-0.6,43.25,640,306.53,301.34
Alicon Castalloy Ltd.,531147,ALICON,INE062D01024,Metals & Mining,Castings & Forgings,2022-06-16,598.9,-2.24,538,998.75,955.67,"1,315.52"
Alka India Ltd.,530889,,INE061B01020,Textiles,Cotton & Blended Yarn,2022-05-02,2.7,-4.93,0.35,5.89,135,137.74
Alkali Metals Ltd.,533029,ALKALI,INE773I01017,Chemicals,Organic Chemicals,2022-06-16,77.85,-0.06,62.6,150.35,78.97,102.08
Alka Securities Ltd.,532166,,INE921C01031,Financial,Brokerage Services,2022-06-13,0.89,4.71,0.24,0.89,8.54,8.55
Alkem Laboratories Ltd.,539523,ALKEM,INE540L01014,Healthcare,Drugs & Pharma,2022-06-16,"3,051.35",-1.6,"2,828.00","4,070.00","36,527.11","36,680.03"
Alkosign Ltd.,543453,,INE0KA601012,Consumer Staples,Misc. Manuf.Articles,2022-06-16,48,-4,45.1,54,26.14,47.59
Alkyl Amines Chemicals Ltd.,506767,ALKYLAMINE,INE150B01039,Chemicals,Organic Chemicals,2022-06-16,"2,656.90",-1.33,"2,516.05","4,749.00","13,596.00","13,637.51"
Allcargo Logistics Ltd.,532749,ALLCARGO,INE418H01029,Services,Logistics,2022-06-16,290.95,-3.83,138.25,412,"7,126.40","8,763.78"
Alliance Integrated Metaliks Ltd.,534064,,INE123D01024,Metals & Mining,Stainless Steel,2022-06-16,31,-1.74,1.94,37.8,348.38,858.73
Allied Digital Services Ltd.,532875,ADSL,INE102I01027,Technology,Software,2022-06-16,120.7,-7.9,55,176,650.47,705.61
Allsec Technologies Ltd.,532633,ALLSEC,INE835G01018,Services,BPO Services,2022-06-16,453.2,-1.27,365.05,748.6,696.39,495.46
Almondz Global Securities Ltd.,531400,ALMONDZ,INE326B01027,Financial,Brokerage Services,2022-06-16,87.95,-1.57,43,155.2,223.9,216.43
Alok Industries Ltd.,521070,ALOKINDS,INE270A01029,Textiles,Cloth,2022-06-16,21,-2.1,20.15,35.8,"10,377.35","34,528.02"
Alpa Laboratories Ltd.,532878,ALPA,INE385I01010,Healthcare,Drugs & Pharma,2022-06-16,59.15,-3.51,46.75,108.95,123.72,78.39
Alphageo (India) Ltd.,526397,ALPHAGEO,INE137C01018,Energy,Oil & Gas Exploration,2022-06-16,271.65,-3.52,246,511.25,174.27,110.65
Alphalogic Techsys Ltd.,542770,,INE08E401029,Technology,Software,2022-06-16,31,-2.67,12.97,51.85,70.88,74.13
