Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,Market Cap(Cr),Enterprise Value(Cr)
Schneider Electric Infrastructure Ltd.,534139,SCHNEIDER,INE839M01018,Capital Goods,Transformers,2022-06-16,101.5,-4.06,98.75,154,"2,441.25","3,041.41"
Scintilla Commercial & Credit Ltd.,538857,,INE892C01018,Financial,Misc. Fin.services,2022-06-16,7.26,-4.97,7.26,10.76,7.28,4.18
Scoobee Day Garments (India) Ltd.,531234,,INE962E01015,Textiles,Misc.Textiles,2022-06-16,142,-0.7,90,227.05,186.3,259.09
Scooters India Ltd.,505141,,INE959E01011,Automobile,Two & Three Wheelers,2022-06-16,27.3,-3.53,26.7,42.8,238.25,247.05
SDC Techmedia Ltd.,535647,,INE807O01011,Services,Media & Entertainment,2022-05-31,8.75,0,5.8,15.65,5.68,27.17
Seacoast Shipping Services Ltd.,542753,,INE277T01024,Services,Logistics,2022-06-16,4.46,-1.11,4.19,26.5,149.15,172.32
Sea Gold Aqua Farms Ltd.,530361,,INE428P01013,Consumer Staples,Marine Foods,2022-06-13,29.25,4.84,13.12,29.25,18.28,18.27
Seamec Ltd,526807,SEAMECLTD,INE497B01018,Services,Shipping,2022-06-16,919.8,-3.39,455.05,"1,424.90","2,355.50","2,475.22"
Seasons Furnishings Ltd.,521182,,INE454D01015,Services,Trading,2022-06-13,4.45,0,1.91,6.25,3.29,11.95
Seasons Textiles Ltd.,514264,,INE707B01010,Textiles,Cloth,2022-06-16,11.7,4.46,6.53,15.58,8.13,34.8
Sea TV Network Ltd.,533268,,INE351L01016,Services,Media & Entertainment,2022-06-16,2.79,4.89,1.5,7.58,3.2,68.87
Secmark Consultancy Ltd.,543234,,INE0BTM01013,Financial,Business Consultancy,2022-06-16,127,-1.55,74.95,167,52.68,54.38
SecUR Credentials Ltd.,,SECURCRED,INE195Y01010,Services,Misc.Other Services,2022-06-16,55,-3.51,,,56.46,73.31
Securekloud Technologies Ltd.,512161,SECURKLOUD,INE650K01021,Technology,Software,2022-06-16,74.25,-5.95,63.5,245.25,250.58,368.61
Sejal Glass Ltd.,532993,SEJALLTD,INE955I01044,Materials,Glass & Glassware,2022-06-16,256.15,-1.46,17.3,517.45,266.14,294.28
Selan Exploration Technology Ltd.,530075,SELAN,INE818A01017,Energy,Oil & Gas Exploration,2022-06-16,196.3,-0.98,122.05,227.7,298.83,124.66
Sellwin Traders Ltd.,538875,,INE195F01019,Services,Trading,2022-06-16,25,4.17,14,27.05,20.25,19.81
SEL Manufacturing Company Ltd.,532886,SELMC,INE105I01020,Textiles,Textile Processing,2022-06-13,"1,025.35",-2,4.95,"1,975.80","3,003.66","3,948.91"
Senthil Infotek Ltd.,531980,,INE564B01015,Consumer Staples,Floriculture,2022-06-16,9.75,0,3.88,15.68,4.92,4.28
SEPC Ltd.,532945,SHRIRAMEPC,INE964H01014,Construction,Construction,2022-06-16,7.94,-2.93,3.8,12.45,778.19,"1,593.52"
S. E. Power Ltd.,534598,SEPOWER,INE735M01018,Materials,Rubber & Rubber Products,2022-06-16,18.15,4.61,6.7,63.8,72.29,146.09
Sequent Scientific Ltd.,512529,SEQUENT,INE807F01027,Healthcare,Drugs & Pharma,2022-06-16,94.9,-3.61,94,336.5,"2,360.89","2,617.61"
Servotech Industries Ltd.,531944,,INE185D01015,Capital Goods,Industrial Machinery,2022-06-16,3.95,2.6,2.8,4.51,1.55,1.84
Servotech Power Systems Ltd.,,SERVOTECH,INE782X01017,Capital Goods,Electronic Equipment,2022-06-16,72.35,-4.74,,,137.94,163.52
Seshasayee Paper & Boards Ltd.,502450,SESHAPAPER,INE630A01024,Consumer Staples,Paper,2022-06-16,166.9,-4.44,133.6,239,"1,060.49",902.94
Setco Automotive Ltd.,505075,SETCO,INE878E01021,Automobile,Auto Ancillaries,2022-06-16,12.95,-3,12.85,25.2,171.89,627.95
Setubandhan Infrastructure Ltd.,533605,SETUINFRA,INE023M01027,Construction,Construction,2022-06-16,2.35,-4.08,1.05,4.64,29.53,106.57
Seven Hill Industries Ltd.,511760,,INE518D01025,Financial,Misc. Fin.services,2022-06-16,1.23,4.24,0.32,1.23,15.99,28.46
Seya Industries Ltd.,524324,SEYAIND,INE573R01012,Chemicals,Organic Chemicals,2022-06-16,23.8,-0.83,23.55,85.25,64.7,830.29
SGN Telecoms Ltd.,531812,,INE266C01023,Capital Goods,Wires & cables,2022-06-16,0.69,4.55,0.34,0.9,5.58,5.08
Shah Alloys Ltd.,513436,SHAHALLOYS,INE640C01011,Metals & Mining,Finished Steel,2022-06-16,75.9,-4.95,11.4,135.35,150.76,324.96
Shah Foods Ltd.,519031,,INE455D01012,Consumer Staples,Bakery & Milling Prod.,2022-05-02,26.25,-4.89,17.15,44,1.57,2.37
Shahi Shipping Ltd.,526508,,INE825D01016,Services,Shipping,2022-06-13,4.53,-4.83,4.18,5.7,6.57,15.98
Shahlon Silk Industries Ltd.,542862,,INE052001026,Textiles,Textile Processing,2022-06-16,15.1,-2.58,11.89,25,134.4,288.69
Shaily Engineering Plastics Ltd.,501423,SHAILY,INE151G01010,Materials,Other Plastic Products,2022-06-16,"1,799.20",-0.08,"1,541.25","2,390.00","1,662.19","1,848.61"
Shakti Pumps (India) Ltd.,531431,SHAKTIPUMP,INE908D01010,Capital Goods,Pumps & Compressors,2022-06-16,471.85,-2.04,411.35,876.2,863.87,941.74
Shalby Ltd.,540797,SHALBY,INE597J01018,Healthcare,Health Services,2022-06-16,102.45,-5.49,100.2,214.4,"1,104.40","1,122.79"
Shalibhadra Finance Ltd.,511754,,INE861D01011,Financial,Hire Purchase,2022-06-16,194.5,-3.09,51,259.8,97.56,161.51
Shalimar Agencies Ltd.,539895,,INE631E01016,Financial,Investment Services,2022-06-13,31.65,4.98,17.08,31.65,9.5,8.92
Shalimar Paints Ltd.,509874,SHALPAINTS,INE849C01026,Materials,Paints & Varnishes,2022-06-16,121.75,-6.67,87.2,163.7,870.94,"1,069.25"
Shalimar Productions Ltd.,512499,,INE435E01020,Services,Media & Entertainment,2022-06-16,0.72,1.41,0.49,1.18,70.87,69.81
Shalimar Wires Industries Ltd.,532455,,INE655D01025,Metals & Mining,Non-Ferrous Metal,2022-06-16,9.24,7.44,5.89,18.19,39.51,114.01
Shamrock Industrial Co. Ltd.,531240,,INE022F01015,Services,Trading,2022-06-16,5.5,3.77,5.02,11.14,2.99,1.53
Shangar Decor Ltd.,540259,,INE118R01024,Diversified,Diversified,2022-06-16,4.42,-1.56,4.21,11.88,5.45,9.48
Shankara Building Products Ltd.,540425,SHANKARA,INE274V01019,Services,Retailing,2022-06-16,686.45,-3.52,417.6,843.85,"1,553.75","1,758.46"
Shankar Lal Rampal Dye-Chem Ltd.,542232,,INE01NE01012,Services,Trading,2022-06-16,500,-4.85,25.53,559.8,"1,076.03","1,122.14"
Shantai Industries Ltd.,512297,,INE408F01016,Capital Goods,Textile Machinery,2022-06-15,23.45,4.92,21,49.65,3.52,2.94
Shanthi Gears Ltd.,522034,SHANTIGEAR,INE631A01022,Automobile,Auto Ancillaries,2022-06-16,202,-6.2,131,262.5,"1,561.55","1,631.68"
Shanti Educational Initiatives Ltd.,539921,,INE440T01010,Services,Education,2022-06-16,548.85,2.09,83.05,956.7,873.43,868.04
Shanti Overseas (India) Ltd.,,SHANTI,INE933X01016,Consumer Staples,Soyabean Prod.,2022-06-16,35.85,-2.85,,,38.98,71.31
Sharad Fibres & Yarn Processors Ltd.,514402,,INE638N01012,Textiles,Textile Processing,2022-05-19,25.25,-0.98,6.55,25.65,11.03,9.93
Sharanam Infraproject and Trading Ltd.,539584,,INE104S01022,Construction,Construction,2022-06-16,1.35,-4.93,0.54,2.18,7.1,7.12
Sharat Industries Ltd.,519397,SHARTSEFOD,INE220Z01013,Consumer Staples,Marine Foods,2022-06-16,46.5,1.31,24.85,73.05,96.08,178.27
Sharda Cropchem Ltd.,538666,SHARDACROP,INE221J01015,Chemicals,Pesticides,2022-06-16,642.35,1.6,285.65,769.15,"5,831.85","5,429.39"
Sharda Ispat Ltd.,513548,,INE385M01012,Metals & Mining,Finished Steel,2022-06-16,67.95,3.19,59.95,83,33.43,41.08
Sharda Motor Industries Ltd.,535602,SHARDAMOTR,INE597I01028,Automobile,Auto Ancillaries,2022-06-16,699.05,-2.82,395.1,954.9,"2,099.80","1,847.13"
