Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Coastal Corporat,501831,COASTCORP,Aquaculture,271.55,314.00,-0.55,-29.49,12.04,13.48,26.60,-152.12,-1467.65,,12.32
Banswara Syntex,503722,BANSWRAS,Textiles - Spinning - Synthetic / Blended,184.50,313.54,-4.15,19.37,12.51,10.48,44.55,-4.20,17.00,10.42,11.27
Reliance Capital,500111,RELCAPITAL,Finance & Investments,12.42,313.35,-1.96,,-14.05,,-7.75,-309.32,-150.70,-27.33,
Pudumjee Paper,539785,PDMJEPAPER,Paper,33.10,312.83,-1.98,37.84,16.40,13.64,19.47,-39.45,-132.99,,
Ginni Filaments,590025,GINNIFILA,Textiles - Cotton/Blended,36.35,312.67,10.26,146.11,14.45,13.29,37.40,-35.07,-30.21,19.67,11.81
Ritco Logistics,542383,RITCO,Miscellaneous,128.90,312.22,13.43,10.21,11.29,9.91,16.06,9.67,153.02,,
Vishwaraj Sugar,542852,VISHWARAJ,Sugar,16.65,311.70,18.06,77.42,8.61,8.72,-19.07,121.77,899.72,,
Accuracy Shippi.,,ACCURACY,Miscellaneous,206.95,311.58,34.18,30.68,13.35,12.44,84.14,-95.90,-192.06,,
Websol Energy,517498,WEBELSOLAR,Electric Equipment,84.30,308.68,45.97,32.09,6.41,8.33,32.47,-54.68,104.55,24.65,
Nath Bio-Genes,537291,NATHBIOGEN,Miscellaneous,162.50,307.85,3.77,-14.79,8.07,7.66,-49.12,-465.75,-523.39,,9.95
Jaypee Infratech,533207,JPINFRATEC,Construction,2.20,305.57,-15.73,-37.07,-2.37,,24.06,82.72,21.68,-27.18,
Tuticorin Alkali,506808,TUTICORALK,Chlor Alkali / Soda Ash,24.95,303.98,-0.05,3.35,,,269.22,113.10,161.66,13.20,
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,53.50,303.87,10.82,37.93,11.52,42.34,23.18,31.42,106.50,14.51,13.39
Albert David,524075,ALBERTDAVD,Pharmaceuticals - Indian - Formulations,532.40,303.64,-0.29,9.43,14.56,10.62,31.07,16.02,-42.80,17.53,16.56
Prime Securities,500337,PRIMESECU,Finance & Investments,96.00,301.42,-0.99,5.24,22.87,17.71,-45.20,-30.70,-83.16,23.81,9.78
Sakuma Exports,532713,SAKUMA,Trading,12.85,301.41,-13.20,-26.38,7.42,5.34,152.25,105.66,330.94,24.17,14.06
Nitta Gelatin,506532,KERALACHEM,Chemicals,331.50,301.00,18.64,113.00,14.45,12.89,34.79,127.30,459.63,14.48,21.62
MIRC Electronics,500279,MIRCELECTR,Electronics - Consumer,12.97,300.26,22.76,-0.23,2.32,-3.12,7.67,-100.00,-311.00,0.93,6.70
Zim Laboratories,541400,,Pharmaceuticals - Indian - Formulations,184.05,298.93,-0.19,-2.36,9.58,6.04,42.26,15.84,353.55,,
Trigyn Techno.,517562,TRIGYN,Computers - Software - Medium / Small,96.70,297.86,5.17,-8.81,14.74,9.72,5.80,-62.42,-70.10,23.86,11.18
Praxis Home,540901,PRAXIS,Trading,39.35,297.85,-16.40,36.33,-10.56,,14.66,67.80,116.12,,92.92
Pondy Oxides,532626,PONDYOXIDE,Chemicals,511.75,297.45,11.52,12.72,15.39,15.74,33.04,61.09,135.57,34.92,34.39
Alliance Integ.,534064,,Steel - Medium / Small,25.45,295.53,-7.07,-2.44,-10.67,,-35.07,-25.99,-1.22,12.85,
