Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Reliance Industr,500325,RELIANCE,Refineries,2500.75,1692021.83,7.19,13.95,9.46,8.61,38.64,-3.07,28.76,21.44,12.12
TCS,532540,TCS,Computers - Software - Large,3292.95,1204834.50,9.40,6.84,50.46,39.99,15.76,-6.56,7.35,18.22,13.94
HDFC Bank,500180,HDFCBANK,Banks - Private Sector,1353.90,750816.21,8.93,19.42,6.41,16.54,9.10,10.39,23.82,17.42,21.90
Infosys,500209,INFY,Computers - Software - Large,1442.05,606446.80,13.74,12.88,35.11,27.24,22.67,-12.02,12.02,16.80,10.19
Hind. Unilever,500696,HINDUNILVR,Personal Care - Multinational,2303.55,541456.43,10.09,12.82,37.78,28.42,10.73,-2.00,4.05,17.72,12.99
ICICI Bank,532174,ICICIBANK,Banks - Private Sector,713.65,496114.22,9.85,80.71,5.89,12.74,12.11,166.02,57.98,16.61,12.63
Life Insurance,543526,LICI,Finance & Investments,661.70,418682.46,8.76,14.57,257.47,76.37,11.77,-50.25,-18.04,,
St Bk of India,500112,SBIN,Banks - Public Sector,454.35,405534.64,4.61,153.78,4.64,9.33,9.66,46.83,55.89,7.95,8.69
H D F C,500010,HDFC,Finance - Housing,2189.15,397218.82,12.41,11.66,9.56,14.65,-1.94,12.12,20.72,13.03,15.26
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,671.20,379862.61,13.00,156.20,9.94,2.85,22.34,6.30,170.54,9.30,-1.23
Bajaj Finance,500034,BAJFINANCE,Finance & Investments,5587.75,338329.77,19.61,20.74,10.43,16.56,25.92,14.74,79.67,51.98,
Kotak Mah. Bank,500247,KOTAKBANK,Banks - Private Sector,1697.75,336578.67,4.19,18.91,6.83,13.70,11.15,102.10,50.30,19.32,20.76
ITC,500875,ITC,Cigarettes,265.80,327428.82,7.85,6.30,31.59,23.52,15.43,-0.41,11.72,4.90,9.52
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1856.65,293960.33,35.62,42.83,8.70,22.24,48.17,4.79,13.80,,
Asian Paints,500820,ASIANPAINT,Paints / Varnishes,2760.90,264786.51,14.79,12.80,32.55,25.75,18.66,-7.72,9.22,22.07,12.30
HCL Technologies,532281,HCLTECH,Computers - Software - Large,966.55,262235.29,12.33,10.54,26.17,21.77,15.05,-3.45,226.04,23.70,23.45
Maruti Suzuki,532500,MARUTI,Automobiles - Passenger Cars,8355.20,252284.07,0.87,-13.39,7.58,6.13,11.30,9.40,51.14,22.34,9.99
Adani Total Gas,542066,ATGL,Miscellaneous,2283.65,251546.90,20.90,28.21,29.08,27.25,73.15,-62.99,-48.87,,
Adani Enterp.,512599,ADANIENT,Trading,2161.45,246510.68,19.80,9.49,8.04,5.16,83.85,-23.95,-5.87,39.77,-8.21
Adani Transmissi,539254,ADANITRANS,Power Generation And Supply,2143.70,239886.00,15.50,29.14,11.76,16.89,9.10,4.71,-3.70,,
Wipro,507685,WIPRO,Computers - Software - Large,418.70,229381.28,10.35,10.75,21.00,19.14,28.41,-20.01,3.87,10.75,8.14
Avenue Super.,540376,DMART,Trading,3411.15,221065.25,15.69,18.60,15.87,11.80,18.55,1.69,3.11,,37.86
Larsen & Toubro,500510,LT,Engineering - Turnkey Services,1495.35,209879.62,5.00,-0.38,13.07,14.76,9.90,-10.30,9.96,9.57,6.62
Sun Pharma.Inds.,524715,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,824.10,197777.14,9.97,23.77,14.23,11.85,10.84,3.08,5.93,10.34,10.33
Axis Bank,532215,AXISBANK,Banks - Private Sector,634.00,194756.77,7.10,40.85,5.22,8.41,15.32,11.72,50.19,12.20,12.87
Bajaj Finserv,532978,BAJAJFINSV,Finance & Investments,11582.95,184210.91,17.10,12.28,11.89,12.51,22.58,7.10,37.49,33.86,13.04
Titan Company,500114,TITAN,Diamond Cutting / Jewellery,2045.45,181587.77,13.34,16.70,19.39,21.35,4.03,-6.61,-3.16,25.09,13.88
O N G C,500312,ONGC,Oil Drilling / Allied Services,137.25,172600.30,8.04,14.36,12.63,11.70,36.62,13.56,49.06,-2.93,6.05
Nestle India,500790,NESTLEIND,Food - Processing - MNC,17224.35,165843.16,9.21,13.03,124.60,93.46,10.24,-9.79,-1.25,14.43,9.16
UltraTech Cem.,532538,ULTRACEMCO,Cement - North India,5464.00,157789.54,8.25,45.22,14.18,15.13,9.45,-23.93,45.19,13.96,12.70
Tata Motors,500570,TATAMOTORS,Automobiles - LCVs / HCVs,409.20,145843.46,-2.66,,2.35,-13.71,-11.50,-30.02,-121.49,5.31,
Power Grid Corpn,532898,POWERGRID,Power Generation And Supply,208.95,145717.15,5.88,9.30,11.21,18.01,1.67,-3.72,10.71,9.75,15.58
Adani Ports,532921,ADANIPORTS,Miscellaneous,686.40,144982.56,13.40,7.85,12.26,15.81,6.57,-24.32,-20.49,19.25,16.46
JSW Steel,500228,JSWSTEEL,Steel - Large,567.40,137189.91,19.98,41.24,18.75,25.00,74.11,-37.72,-12.72,24.23,34.37
M & M,500520,M&M,Automobiles - Passenger Cars,1072.05,133231.09,-4.86,6.64,9.17,5.96,20.87,4.10,2140.47,11.96,7.73
NTPC,532555,NTPC,Power Generation And Supply,137.00,132990.46,9.78,3.48,9.13,11.48,23.20,24.59,13.68,0.65,5.40
HDFC Life Insur.,540777,HDFCLIFE,Finance & Investments,561.35,118644.20,19.46,-1.84,16.56,14.86,-17.33,-29.90,12.45,,16.20
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,3813.35,110401.20,2.97,5.92,26.07,20.65,-7.23,-3.62,-17.35,9.36,5.86
Pidilite Inds.,500331,PIDILITIND,Chemicals,2161.10,109879.21,11.91,8.74,29.50,22.81,12.15,-22.37,-17.65,29.37,14.38
Coal India,533278,COALINDIA,Mining / Minerals / Metals,176.55,108864.42,3.28,-0.20,56.79,45.19,22.50,15.19,45.92,-6.31,1.62
SBI Life Insuran,540719,SBILIFE,Finance & Investments,1078.30,107766.77,22.99,6.37,17.77,15.22,1.88,21.21,26.25,,10.61
Hindustan Zinc,500188,HINDZINC,Mining / Minerals / Metals,246.60,104279.67,11.71,8.17,28.55,22.61,26.63,1.15,18.06,7.73,6.75
Tata Steel,500470,TATASTEEL,Steel - Large,852.85,104202.24,15.66,66.76,16.78,23.78,38.57,-23.53,35.54,8.11,29.44
I O C L,530965,IOC,Refineries,108.50,102096.05,3.72,13.27,12.06,15.48,46.23,-31.94,-26.38,5.25,9.01
Adani Power,533096,ADANIPOWER,Power Generation And Supply,264.45,102037.15,5.08,92.50,13.75,,66.28,94.91,35280.58,18.97,30.94
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,3671.45,97457.49,21.90,29.82,31.20,24.21,40.84,9.46,78.21,22.34,18.70
Tech Mahindra,532755,TECHM,Computers - Software - Large,980.95,95384.76,8.72,9.18,23.99,19.66,24.53,-11.59,44.18,19.03,17.13
Dabur India,500096,DABUR,Personal Care - Indian,509.75,90358.54,8.54,6.42,27.43,23.57,7.75,-4.97,-5.23,16.23,10.93
Grasim Inds,500300,GRASIM,Textiles - Manmade,1324.40,87264.21,7.42,44.37,11.27,9.00,18.07,-23.33,61.91,12.49,12.07
Britannia Inds.,500825,BRITANNIA,Food - Processing - MNC,3469.35,83592.59,8.54,9.49,41.54,42.03,13.41,-4.09,4.97,29.53,23.71
Siemens,500550,SIEMENS,Electric Equipment,2343.80,83426.42,2.15,6.52,15.02,10.49,13.52,-6.55,2.56,12.71,2.53
Vedanta,500295,VEDL,Mining / Minerals / Metals,221.40,82298.73,12.98,40.17,21.16,25.10,41.18,6.84,-13.80,1.83,21.76
Godrej Consumer,532424,GODREJCP,Personal Care - Indian,790.45,80788.21,5.98,-5.64,18.97,19.04,6.78,-20.20,-9.24,15.50,12.05
Eicher Motors,505200,EICHERMOT,Automobiles - Motorcycles / Mopeds,2865.50,78367.72,1.68,-8.70,19.56,15.08,8.60,9.87,15.97,30.61,18.91
DLF,532868,DLF,Construction,315.70,78108.21,-11.92,10.20,4.29,2.87,-9.65,-10.38,-15.09,5.15,5.09
Adani Wilmar,543458,AWL,Solvent Extraction,585.40,76055.97,22.05,30.52,23.79,18.25,33.74,-12.12,-24.38,,
Cipla,500087,CIPLA,Pharmaceuticals - Indian - Bulk Drugs & Formln,933.70,75369.18,9.97,24.36,15.90,12.31,14.19,-17.58,-5.39,11.73,8.44
Hindalco Inds.,500440,HINDALCO,Aluminium and Aluminium Products,322.40,72505.93,14.32,36.89,10.88,10.63,37.67,-6.03,112.26,10.84,14.58
SBI Cards,543066,SBICARD,Finance & Investments,760.00,71697.72,15.02,23.17,12.07,22.22,22.91,106.26,231.13,,
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,4308.00,71674.65,11.73,5.67,13.78,12.29,14.82,-62.70,-82.59,10.41,4.60
Ambuja Cements,500425,AMBUJACEM,Cement - North India,360.60,71592.40,3.61,8.10,19.26,10.45,2.40,-24.34,-30.44,7.77,8.93
ICICI Pru Life,540133,ICICIPRULI,Finance & Investments,492.45,70852.77,14.54,-6.88,10.45,9.10,-32.56,-133.48,198.96,,-5.84
L & T Infotech,540005,LTI,Computers - Software - Large,4034.00,70680.96,18.38,14.87,36.53,29.41,31.57,-10.05,16.84,,18.55
Havells India,517354,HAVELLS,Electric Equipment,1106.70,69335.64,11.43,14.82,26.69,20.24,32.55,-22.80,16.01,25.78,12.26
FSN E-Commerce,543384,NYKAA,Miscellaneous,1436.00,68300.92,50.31,54.32,8.49,5.51,31.44,-34.55,-55.09,,
SRF,503806,SRF,Chemicals,2276.30,67454.45,20.54,43.32,19.21,22.58,36.12,8.36,59.00,49.79,17.53
Shree Cement,500387,SHREECEM,Cement - North India,18673.65,67297.86,6.13,26.55,17.20,14.59,3.05,-28.45,-17.68,20.57,
Tata Consumer,500800,TATACONSUM,Tea,728.50,67158.41,19.66,33.23,9.31,6.21,4.55,41.60,170.56,20.27,11.02
B P C L,500547,BPCL,Refineries,307.55,66737.04,5.16,11.65,14.36,20.46,35.72,-30.58,-52.02,9.43,29.37
Tata Power Co.,500400,TATAPOWER,Power Generation And Supply,207.85,66415.13,12.74,103.87,8.47,5.53,15.41,-23.98,28.04,8.45,16.84
Interglobe Aviat,539448,INDIGO,Transport - Airlines,1630.45,62701.71,-3.10,,-8.75,,28.89,-94.70,-46.61,,
Marico,531642,MARICO,Personal Care - Indian,484.65,62615.69,9.05,3.37,43.89,36.08,7.41,1.01,7.97,18.55,14.44
IndusInd Bank,532187,INDUSINDBK,Banks - Private Sector,807.00,62407.38,11.46,11.78,6.69,10.56,5.94,9.78,55.42,9.45,19.11
Hind.Aeronautics,541154,HAL,Engineering,1796.70,60108.26,7.16,29.43,26.78,25.05,6.40,-13.43,91.51,,7.20
GAIL (India),532155,GAIL,Miscellaneous,132.45,58768.28,6.78,22.26,19.25,17.64,73.44,-14.74,38.91,2.95,10.66
Indus Towers,534816,INDUSTOWER,Transmisson Line Towers / Equipment,216.15,58182.21,59.54,41.41,22.80,27.24,9.62,8.60,34.08,,23.97
Berger Paints,509480,BERGEPAINT,Paints / Varnishes,594.10,57683.60,13.07,19.75,26.97,23.77,7.97,-4.06,5.61,28.09,16.56
Bharat Electron,500049,BEL,Electronics - Components,233.50,56906.98,8.11,8.34,26.98,19.83,-8.35,-13.13,-15.63,19.53,11.00
Zomato Ltd,543320,ZOMATO,Miscellaneous,70.35,55391.17,45.89,12.26,-20.32,-20.59,71.45,-92.51,-207.56,,
United Spirits,532432,MCDOWELL-N,Breweries & Distilleries,762.00,55355.19,1.31,12.10,19.49,15.64,13.69,-4.16,27.38,19.14,17.35
Motherson Sumi,517334,MOTHERSON,Auto Ancillaries,122.45,55271.91,0.01,-17.87,9.08,7.90,1.25,-31.23,-80.91,21.26,16.61
Apollo Hospitals,508869,APOLLOHOSP,Healthcare,3838.40,55189.58,15.09,62.43,14.39,10.15,23.66,-9.05,-40.45,20.10,14.61
ICICI Lombard,540716,ICICIGI,Finance & Investments,1121.00,55044.13,12.81,6.57,24.02,18.87,27.12,-1781.63,-9.60,,16.76
Hero Motocorp,500182,HEROMOTOCO,Automobiles - Motorcycles / Mopeds,2744.00,54896.96,-4.54,-11.57,23.35,18.37,-13.73,-21.03,-30.60,3.02,
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance & Investments,647.75,53202.60,12.57,21.63,9.74,17.65,5.07,32.73,180.15,34.27,30.41
Bajaj Holdings,500490,BAJAJHLDNG,Finance & Investments,4658.70,51813.77,-0.12,9.98,11.30,10.72,-3.28,1.23,16.48,19.73,9.13
Bank of Baroda,532134,BANKBARODA,Banks - Public Sector,99.95,51714.58,11.52,93.34,4.42,4.38,9.70,20.20,382.09,-3.42,4.02
Info Edg.(India),532777,NAUKRI,Miscellaneous,3918.25,50532.48,11.35,238.10,16.19,14.40,57.38,43.66,307.46,26.36,39.37
Varun Beverages,540180,VBL,Food - Processing - Indian,769.60,49979.39,20.01,32.20,15.16,15.75,26.18,10.28,96.67,,
UPL,512070,UPL,Pesticides / Agrochemicals - Indian,640.65,48925.40,28.41,28.58,13.36,15.02,23.95,2.85,32.64,23.33,21.18
Macrotech Devel.,543287,LODHA,Construction,1011.00,48802.09,-8.13,-9.75,7.95,6.80,35.96,-20.75,72.42,,
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,2877.70,48711.80,3.50,22.09,17.19,20.79,10.02,-12.38,-12.04,25.64,12.70
A B B,500002,ABB,Electric Equipment,2290.35,48650.18,1.20,-4.83,12.48,8.54,20.82,26.36,76.45,12.74,8.76
Tata Elxsi,500408,TATAELXSI,Computers - Software - Medium / Small,7788.45,48485.01,15.66,24.03,41.78,31.64,31.51,0.09,38.93,53.22,32.00
I R C T C,542830,IRCTC,Travel Agencies,596.30,47720.19,0.17,32.59,43.48,31.52,103.95,-5.88,104.58,,
Mindtree,532819,MINDTREE,Computers - Software - Large,2831.65,46686.18,14.45,29.90,35.41,28.61,37.36,-4.29,49.10,33.76,22.55
Bandhan Bank,541153,BANDHANBNK,Banks - Private Sector,286.15,46100.93,27.81,-59.90,7.66,11.41,29.02,277.93,1746.39,,
Page Industries,532827,PAGEIND,Textiles - Products,40094.70,44634.73,10.86,11.65,56.68,46.30,26.15,24.69,64.87,30.26,19.53
P & G Hygiene,500459,PGHH,Personal Care - Multinational,13247.30,43028.88,13.33,19.95,74.36,53.52,28.12,0.06,4.60,20.07,15.67
Gland Pharma,543245,GLAND,Pharmaceuticals - Indian - Bulk Drugs,2610.75,42990.02,29.12,37.62,27.07,20.39,24.25,-14.44,9.80,,
Mphasis,526299,MPHASIS,Computers - Software - Medium / Small,2257.95,42432.77,15.66,10.13,25.82,20.76,29.85,-4.86,23.70,20.22,5.74
Bosch,500530,BOSCHLTD,Auto Ancillaries,14266.80,42110.28,-0.84,-8.66,15.63,11.36,2.90,-31.65,-27.26,5.19,1.33
One 97,543396,PAYTM,Miscellaneous,647.95,42061.07,8.47,12.14,-23.07,-24.89,38.45,-20.27,-78.02,,
Balkrishna Inds,502355,BALKRISIND,Tyres,2132.00,41244.23,16.77,23.39,21.92,20.24,35.40,-32.49,-1.34,32.40,18.07
Colgate-Palmoliv,500830,COLPAL,Personal Care - Multinational,1513.75,41185.59,4.55,12.58,82.70,67.36,1.41,0.40,2.83,10.32,9.22
Ashok Leyland,500477,ASHOKLEY,Automobiles - LCVs / HCVs,140.00,41097.38,-7.54,,6.87,0.82,21.92,-3.37,-2.79,18.82,
United Breweries,532478,UBL,Breweries & Distilleries,1500.00,39689.30,-3.39,-13.40,11.59,8.54,10.65,-9.89,18.86,11.60,11.17
Muthoot Finance,533398,MUTHOOTFIN,Finance & Investments,984.95,39520.47,17.23,26.09,15.22,26.16,-5.45,1.55,-3.55,21.54,16.06
ACC,500410,ACC,Cement - North India,2098.20,39402.47,2.95,7.77,18.07,13.10,3.14,-28.44,-29.55,5.57,4.08
Biocon,532523,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln,326.95,39253.62,14.07,-0.94,10.59,9.96,30.76,12.58,9.28,23.85,7.87
Piramal Enterp.,500302,PEL,Pharmaceuticals - Indian - Bulk Drugs & Formln,1645.00,39240.90,5.60,4.73,9.63,3.63,22.38,-45.93,121.45,12.50,38.12
AU Small Finance,540611,AUBANK,Banks - Private Sector,615.30,38788.08,26.16,43.45,8.82,19.77,28.99,12.69,104.80,,36.56
P I Industries,523642,PIIND,Pesticides / Agrochemicals - Indian,2556.75,38746.70,23.10,27.94,20.08,16.75,16.55,15.11,13.68,38.21,26.36
HDFC AMC,541729,HDFCAMC,Finance & Investments,1814.70,38741.73,5.39,14.39,40.32,30.38,2.65,-3.29,8.69,,
Ruchi Soya Inds.,500368,RUCHI,Solvent Extraction,1060.55,38590.51,23.89,118.52,12.38,,37.72,18.02,-25.42,27.77,20.77
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,18058.45,38402.09,10.17,21.60,36.36,27.97,14.56,24.79,38.66,28.84,20.84
TVS Motor Co.,532343,TVSMOTOR,Automobiles - Motorcycles / Mopeds,797.90,37908.23,6.50,2.31,11.68,18.42,7.39,-1.10,-12.19,37.08,19.08
Container Corpn.,531344,CONCOR,Miscellaneous,622.10,37858.43,3.23,-4.83,11.57,8.22,5.16,102.10,5778.37,12.77,1.97
Trent,500251,TRENT,Trading,1058.80,37629.87,19.58,-27.02,9.21,-0.25,46.75,-18.53,-219.67,27.53,10.96
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,353.35,36200.07,5.06,34.82,17.90,22.02,5.27,-19.33,-45.73,8.66,21.07
Max Healthcare,543220,MAXHEALTH,Healthcare,371.90,36060.70,32.48,3028.56,8.74,6.12,17.08,6.87,77.54,,
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,3003.85,35865.89,13.07,29.42,19.86,21.09,13.31,2.26,-52.41,,15.33
Delhivery,543529,DELHIVERY,Couriers,492.75,35724.87,52.89,14.82,-9.29,-13.48,76.37,421.62,8.88,,
Jubilant Food.,533155,JUBLFOOD,Food - Processing - MNC,533.20,35189.61,7.25,9.81,21.39,22.96,13.31,-3.65,-8.57,16.76,14.68
Embassy Off.REIT,542602,EMBASSY,Construction,368.17,34878.75,,356.18,4.23,3.12,0.88,29.15,497.18,,
JSW Energy,533148,JSWENERGY,Power Generation And Supply,208.55,34286.28,-3.67,36.14,10.22,8.53,55.49,15.00,725.16,15.80,21.32
IDBI Bank,500116,IDBI,Banks - Private Sector,31.60,33977.59,-6.07,29.47,3.05,-7.94,-20.34,48.96,16.79,-10.02,2.39
Sona BLW Precis.,543300,SONACOMS,Castings & Forgings,579.70,33905.43,40.49,50.48,19.01,17.73,-0.26,-3.44,55.56,,
Schaeffler India,505790,SCHAEFFLER,Bearings,2161.40,33815.67,6.82,12.07,19.03,13.87,19.04,21.71,48.43,22.30,13.60
Canara Bank,532483,CANBK,Banks - Public Sector,185.90,33752.52,13.77,116.24,4.89,4.48,9.81,18.88,60.46,-7.46,6.34
Shriram Trans.,511218,SRTRANSFIN,Finance & Investments,1244.35,33655.10,7.42,1.85,10.30,12.70,13.08,2.79,44.21,9.32,7.59
Astral,532830,ASTRAL,Plastics Products,1668.00,33525.59,20.56,35.26,27.50,21.90,23.30,-31.46,-19.01,51.22,28.71
Godrej Propert.,533150,GODREJPROP,Construction,1199.75,33343.25,-13.48,17.87,4.39,1.87,207.56,130.88,235.02,16.87,16.02
Polycab India,542652,POLYCAB,Cables - Power,2219.80,33218.69,15.19,21.42,24.79,19.62,34.91,-12.67,14.47,,
Voltas,500575,VOLTAS,Air-conditioners,991.20,32853.35,3.66,-0.73,15.25,11.22,0.56,-25.17,-23.15,25.66,8.80
Punjab Natl.Bank,532461,PNB,Banks - Public Sector,29.55,32593.27,13.50,33.92,4.61,3.01,0.13,-6.30,-51.73,-15.34,-2.63
Jindal Steel,532286,JINDALSTEL,Steel - Sponge Iron,317.20,32372.87,2.84,123.96,13.58,10.94,35.36,-46.43,-13.52,-2.99,4.26
L&T Technology,540115,LTTS,Computers - Software - Medium / Small,3052.95,32239.41,8.96,6.88,32.72,25.15,21.91,6.49,34.70,,
Indian Hotels Co,500850,INDHOTEL,Hotels,226.85,32221.77,-12.18,,0.35,-6.55,41.80,57.29,148.14,15.48,
I O B,532388,IOB,Banks - Public Sector,16.95,32039.59,-1.73,34.73,3.67,-12.05,3.87,66.85,57.93,-14.69,5.01
Yes Bank,532648,YESBANK,Banks - Private Sector,12.75,31970.78,-13.73,-14.49,2.43,-22.06,24.02,180.86,109.70,-15.45,0.96
NMDC,526371,NMDC,Mining / Minerals / Metals,107.60,31533.31,28.66,26.69,30.49,21.99,-2.12,-35.35,-36.04,-5.02,2.57
H P C L,500104,HINDPETRO,Refineries,220.10,31243.02,8.30,2.97,12.49,20.40,30.35,-64.87,-34.05,11.33,44.44
NHPC Ltd,533098,NHPC,Power Generation And Supply,31.05,31189.83,0.76,14.61,8.17,10.30,4.05,-11.98,5.61,5.52,1.52
Petronet LNG,532522,PETRONET,Miscellaneous,206.35,30960.00,3.98,15.85,29.15,26.35,47.33,-27.22,20.34,11.41,12.25
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,526.50,30858.61,6.23,4.17,16.52,15.55,-3.20,-20.85,-8.33,25.54,30.98
Star Health Insu,543412,STARHEALTH,Finance & Investments,534.50,30819.95,41.09,,-20.75,-18.17,256.06,97.43,91.43,,
Tube Investments,540762,TIINDIA,Cycles And Accessories,1588.70,30651.52,29.46,47.17,22.55,21.96,24.96,2.86,18.47,,
Bharat Forge,500493,BHARATFORG,Castings & Forgings,645.15,30002.90,1.03,-0.30,7.82,9.65,71.55,-21.08,15.13,16.12,9.42
Honeywell Auto,517174,HONAUT,Electronics - Components,33800.00,29868.93,-2.44,-1.85,24.71,18.31,-0.70,-31.93,-30.14,28.96,12.22
MRF,500290,MRF,Tyres,70410.60,29865.26,6.34,-15.98,10.95,8.83,10.14,-36.02,-50.26,21.59,6.76
Gujarat Fluoroch,542812,FLUOROCHEM,Chemicals,2695.00,29569.77,13.15,-14.64,13.95,6.87,27.79,33.06,98.18,,
Gujarat Gas,539336,GUJGASLTD,Miscellaneous,420.50,28960.97,28.51,44.42,31.13,32.15,35.97,-7.15,30.17,,
Lupin,500257,LUPIN,Pharmaceuticals - Indian - Bulk Drugs,629.95,28625.44,3.81,,4.28,-2.04,2.64,-63.61,-211.16,1.83,
CG Power & Indu.,500093,CGPOWER,Electric Equipment,186.20,28348.22,-11.41,48.39,9.96,,34.78,107.12,-85.19,17.83,2.51
Max Financial,500271,MFSL,Finance & Investments,817.65,28200.70,16.92,-1.19,16.56,9.71,-8.20,155.71,88.77,17.11,-4.31
S A I L,500113,SAIL,Steel - Large,68.00,28108.47,15.61,68.03,14.09,14.41,32.10,-46.65,-31.25,-2.55,12.79
Vodafone Idea,532822,IDEA,Telecommunications - Service Provider,8.73,28039.75,1.26,-37.59,-11.43,,6.58,-1.07,-8.28,-15.05,
Cummins India,500480,CUMMINSIND,Engines,996.55,27610.36,2.76,3.64,18.84,15.48,19.82,2.90,1.86,8.56,3.86
Oberoi Realty,533273,OBEROIRLTY,Construction,757.75,27548.28,1.42,9.59,10.73,9.07,4.22,-9.63,-19.00,12.12,8.88
Coromandel Inter,506395,COROMANDEL,Fertilizers,932.10,27409.59,13.06,27.35,30.65,27.43,49.64,10.47,85.94,13.78,8.20
Power Fin.Corpn.,532810,PFC,Finance - Term-Lending Institutions,102.70,27113.63,12.12,12.20,9.26,19.40,3.88,-3.03,9.72,2.20,16.44
Oracle Fin.Serv.,532466,OFSS,Computers - Software - Medium / Small,3134.00,27044.20,1.73,10.87,37.31,26.31,5.44,-11.19,4.66,2.51,7.05
PB Fintech.,543390,POLICYBZR,Miscellaneous,599.00,26899.85,42.52,,-20.34,-22.27,99.55,-86.27,-241.06,,
Tata Comm,500483,TATACOMM,Telecommunications - Service Provider,922.25,26281.22,0.40,172.54,16.58,,4.66,-1.61,26.54,20.60,14.25
Minda Industries,532539,MINDAIND,Auto Ancillaries,917.10,26191.60,12.06,7.68,12.95,10.92,7.90,-16.56,3.71,55.95,34.84
Oil India,533106,OIL,Oil Drilling / Allied Services,240.45,26118.60,29.62,12.50,17.13,18.66,36.42,34.17,115.31,-0.29,5.01
I R F C,543257,IRFC,Finance - Term-Lending Institutions,19.80,25875.63,22.17,39.26,5.24,13.81,33.15,-0.26,0.67,,28.90
Indraprastha Gas,532514,IGL,Miscellaneous,369.10,25858.72,10.18,24.18,27.29,21.79,55.16,-34.41,14.88,22.50,
Aarti Industries,524208,AARTIIND,Chemicals,712.45,25826.60,18.87,38.64,17.68,21.94,45.17,-10.22,42.34,44.79,29.12
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals - Multinational,1502.95,25445.61,1.57,58.31,60.39,41.19,8.76,2.80,5187.97,4.05,11.16
Linde India,523457,LINDEINDIA,Chemicals,2976.10,25389.37,-1.23,108.59,12.75,8.94,21.03,-17.64,-10.17,22.54,9.85
Laurus Labs,540222,LAURUSLABS,Pharmaceuticals - Indian - Formulations,466.60,25048.64,28.16,98.78,25.96,28.15,-1.51,-18.12,-24.44,,42.55
Persistent Sys,533179,PERSISTENT,Computers - Software - Medium / Small,3276.75,25006.54,19.27,26.84,22.63,17.64,47.11,1.54,45.90,32.34,16.72
Solar Industries,532725,SOLARINDS,Chemicals,2751.00,24912.29,17.05,18.72,21.94,21.72,66.40,-3.99,84.45,30.84,15.52
Deepak Nitrite,506401,DEEPAKNTR,Chemicals,1801.50,24567.79,36.07,82.28,41.05,40.15,27.96,-29.45,-7.89,59.60,
Relaxo Footwear,530517,RELAXO,Leather / Leather Products,984.50,24418.77,5.00,9.85,22.25,17.43,-6.62,-26.91,-38.41,43.94,19.13
Dalmia BharatLtd,542216,DALBHARAT,Cement - South India,1295.00,24272.96,5.97,74.95,7.15,6.64,7.27,-17.09,-5.68,,
Tata Tele. Mah.,532371,TTML,Telecommunications - Service Provider,123.55,24174.35,-5.04,-7.19,,,2.82,-8.37,2.66,26.07,
Union Bank (I),532477,UNIONBANK,Banks - Public Sector,35.35,24160.83,25.75,56.05,4.86,3.39,9.00,48.55,22.68,-16.17,11.58
Vedant Fashions,543463,MANYAVAR,Trading,992.00,24017.89,8.30,19.15,25.25,21.38,58.62,9.98,97.96,,
Thermax,500411,THERMAX,Engineering,1975.90,23548.23,0.86,-5.75,11.25,8.05,26.51,-23.45,-4.57,15.15,-2.14
Atul,500027,ATUL,Dyes And Pigments,7933.95,23422.37,7.96,11.96,23.24,18.01,22.81,-34.31,-22.16,43.29,20.82
REC Ltd,532955,RECLTD,Finance - Term-Lending Institutions,118.05,23303.94,15.62,20.46,9.04,19.25,4.58,-3.71,10.76,2.88,13.46
CRISIL,500092,CRISIL,Miscellaneous,3186.20,23253.25,9.58,5.49,39.48,28.89,20.14,15.07,45.62,11.52,7.73
3M India,523395,3MINDIA,Diversified - Large,20456.45,23146.66,3.10,-6.25,13.59,9.79,10.39,41.59,60.74,18.52,15.15
Syngene Intl.,539268,SYNGENE,Pharmaceuticals - Indian - Bulk Drugs & Formln,567.50,22834.85,12.53,8.58,14.47,15.16,15.29,0.49,12.01,,19.42
